product_id,shop_id,product_name,ingredient,feature,skin_type,capacity,design,brand,expiry,origin
112,91,Sữa rửa mặt trà xanh The Body Shop Tea Tree,,"làm sạch và kháng khuẩn, giúp giảm tình trạng mụn sưng tấy, lấy sạch bã nhờn",dành cho da cực nhiều dầu nhờn và mụn,250 ml,,the body shop,,
113,92,Sữa Rửa Mặt Dr.Pepti Galacto Cleansing Foam,,"làm sạch sâu, ngăn ngừa và điều tiết dầu nhờn, làm tráng sáng da, điều trị vết thâm sạm",da dầu hoặc da bóng nhờn,,,dr pepti,,
114,93,Sữa Rửa Mặt BYVIBES WONDER BATH PHA 5.5,"công thức axit dịu nhẹ với ph 5.5, không dùng muối sulfate mà dùng dầu dừa và dầu cọ","làm sạch da hoàn hảo hơn, cân bằng độ ẩm chuẩn cho làn da với độ ph lý tưởng 5.5",khả năng thuần phục mọi làn da nhạy cả,150 ml,,super vegitoks,,hàn quốc
115,94,Sữa rửa mặt Bơ thái chuẩn,"bơ tự nhiên, thành phần chống oxi hóa","làm sạch bụi bẩn và tạp chất trên da, ngăn ngừa mụn nám",mọi loại da,,,,,
116,95,Sữa Rửa Mặt Chiết Xuất Từ Trà Xanh Innisfree Green Tea Foam Cleanser mẫu mới,chiết xuất từ trà xanh,"làm sạch da, hút nhờn, chống oxy hóa, ngăn ngừa mụn viêm, cung cấp độ ẩm, bảo vệ da, phục hồi độ đàn hồi và sự tươi trẻ cho da","dành cho mọi loại da, đặc biệt là da dầu có mụn, da bị kích ứng với ô nhiễm môi trường, da có mụn nhưng không quá khẩn cấp và nhiều mụn",150 ml,mẫu mới,inisfre,,"sản xuất ngay tại cánh đồng trà xanh trên đảo jeju, hàn quốc"
117,79,"SỮA rửa mặt OXY có hạt làm sạch sâu, đánh bay nhờn, tút sáng da,cực mát 100G","vitamin b3, chiết xuất tảo biển, than đen, than tre","làm sạch sâu, đánh bay nhờn, tút sáng da, ngăn ngừa mụn",,,,oxy,,
118,70,Sửa rửa mặt đông y gia truyền 100gr,,"dành cho mọi loại da đặc biệt là da nhờn dầu như chảo mỡ da em rất nhạy cảm từ ngày dùng srm đông y gia truyền làm da mềm mịn lên hẳn. ý việc sử dụng sửa rửa mặt hàng ngày rất quan trọng nha các nàng. làm da sạch sâu bụi bẩn kìm dầu vượt trội, ngừa mụn, tẩy được da chết giúp da mịn màng, se khít lỗ chân lông, giúp nhanh khô cồi mụn",dành cho mọi loại da đặc biệt là da nhờn dầu như chảo mỡ da em rất nhạy cảm,,,,,
119,96,Combo nước tẩy trang + sữa rửa mặt Trà Xanh,,loại bỏ bụi bẩn dầu nhờn từ da,,,chai,,,
120,97,SỬA RỬA MẶT INNIS TRÀ XANH,"lá trà xanh tự nhiên, kaolin, các thành phần chống oxi hóa","làm sạch da, hút nhờn, ngăn ngừa lão hóa da, phục hồi độ đàn hồi và sự tươi trẻ cho làn da, chống tác hại từ môi trường","mọi loại da, đặc biệt phù hợp với da dầu và có mụn",,,inisfre,,đảo jeju
121,98,Sữa Rửa Mặt 3W Clinic Mẫu Mới Hot,chiết xuất hoàn toàn từ lá trà xanh tự nhiên,giàu độ ẩm và các thành phần chống oxi hoá giúp làm sạch bụi bẩn và các tạp chất trên da giúp da sạch,dành cho mọi loại da,,,,,
122,99,Sữa rửa mặt Simple giúp da sạch thoáng & không chứa xà phòng 150ml,"aqua, betaine, glycol, disodium edta, sodium, sodium, sodium acetate","giúp làm sạch da, cấp ẩm, tươi sáng, làm dịu và phục hồi da",phù hợp cho mọi loại da kể cả làn da nhạy cảm,,,simple,03 năm kể từ ngày sản xuất,poland
123,100,"Sữa rửa mặt_MH Beauty Spa 120ml, ngăn ngừa mụn và nám_CHÍNH HÃNG [HH013]",dầu hoa cúc chiết xuất táo tây chiết xuất nhân sâm dầu tử thảo 1 vài thành phần khác từ tự nhiên,làm sạch da ngăn ngừa mụn làm sạch lớp bụi bẩn tích tụ quá nhiều trên bề mặt da giúp da trở nên sáng mịn hồng hào cung cấp dưỡng chất cần thiết để nuôi dưỡng và giữ ẩm cho da mang lại cho da mịn màng căng bóng thông thoáng sạch sẽ mà không làm tổn thương hay bị khô da ngăn ngừa mụn thâm nám tàn nhang se khít lỗ chân lông,,,đầu cọ tiện dụng giúp chị em tiết kiệm tối đa trong việc skincare mỗi ngày dành cho những cô nàng không có nhiều thời gian đặc biệt thiết kế còn giúp làm sạch sâu giúp masage nhẹ nhàng trên da mặt nhờ có đầu cọ silicon giúp làm sạch sâu gấp 5 lần rửa mặt bằng tay thông dụng thay thế máy rửa mặt 2 trong 1,,,
124,59,Sữa rửa mặt trà xanh INF 150ml mẫu mới,chiết xuất lá trà xanh tự nhiên nguyên chất và các thành phần khác,"làm sạch loại bỏ cặn bẩn, giúp làn da luôn mềm mại và căng mịn, làm sáng khỏe da",hầu hết các loại da kể cả da nhạy cảm,,,seedling,,đảo jeju
125,101,"[ 100% Korea] Sửa rửa mặt 3w clinic trà xanh / Gạo 100ml sáng da , hỗ trợ giảm và ngăn ngừa mụn",chiết xuất từ trà xanh,"làm sạch da, giảm mụn, ngăn ngừa mụn và lão hóa, loại bỏ dầu thừa và nhờn dư, giúp da sáng trắng căng mịn","phù hợp với mọi loại da, đặc biệt là da nhờn dễ mụn",10 ml,hàng chuẩn chất lượng nhập khẩu từ hàn quốc,3 w clinic,,hàn quốc
126,102,Sữa rửa mặt Hazeline Chiết Xuất Thiên Nhiên 15gr,"1': 'kiwi nghệ, 2': 'matcha tràm trà, 3': 'yến mạch và dâu tằm, 4': 'nghệ hoa cúc, 5': 'srm matcha nghệ dâu cam hoacúc","1': 'giúp kiểm soát nhờn, 2': 'ngừa mụn, 3': 'sáng da, mịn màng, 4': 'giảm mụn dần sau 3 ngày, 5': 'làm trắng da, 6': 'sạch sâu, 7': 'dưỡng ẩm","1': 'thích hợp mọi loại da, 2': 'phù hợp cho da mụn, 3': 'phù hợp cho da nhạy cảm, 4': 'dành cho da dầu, 5': 'dành cho da khô mụn, 6': 'dành cho da dầu và mụn","1': 'không có thông tin, 2': 'không có thông tin, 3': 'không có thông tin, 4': 'không có thông tin, 5': 'không có thông tin","1': 'không có thông tin, 2': 'không có thông tin, 3': 'không có thông tin, 4': 'không có thông tin, 5': 'không có thông tin","1': 'hazeline, 2': 'không có thông tin, 3': 'không có thông tin, 4': 'không có thông tin, 5': 'không có thông tin","1': 'không có thông tin, 2': 'không có thông tin, 3': 'không có thông tin, 4': 'sau 3 tháng, 5': 'không có thông tin","1': 'không có thông tin, 2': 'không có thông tin, 3': 'không có thông tin, 4': 'không có thông tin, 5': 'không có thông tin"
127,103,Sữa Rửa Mặt Hazeline Dưỡng Ẩm Sáng 50g,chiết xuất từ thiên nhiên kết hợp cùng acid,"làm sạch sâu bụi bẩn, giảm mụn và dưỡng sáng đều màu dịu nhẹ","phù hợp cho mọi loại da, kể cả da nhạy cảm, da dầu thừa, lỗ chân lông to, da thường gặp vấn đề về mụn, da xỉn màu thâm sạm, da thiếu ẩm thiếu nước",50 g,,hazeline,,thuộc tập đoàn unilever của mỹ
128,97,Sữa Rửa Mặt Cosrx Low Ph 150ml,công thức không chứa dầu,"nhẹ nhàng làm sạch da, lấy đi bụi bẩn cùng bã nhờn dư thừa, làm thông thoáng lỗ chân lông, giảm nguy cơ hình thành mụn trứng cá và mụn đầu đen","thích hợp dùng cho da thường, da hỗn hợp, da dầu, mụn và da nhạy cảm",150 ml,gel trong,simple,,
129,104,SỮA RỬA MẶT TRẮNG Da Gạo The Face Shop Rice Water Bright,"chiết xuất gạo, dầu moringa, vitamin b5","làm sạch và hỗ trợ dưỡng trắng da hiệu quả, giải độc tố cho da, giữ lại độ ẩm, làm trắng da mờ các vết thâm đều màu da và giảm thiểu các nếp nhăn, chậm quá trình lão hóa",,,dạng kem mịn dễ tạo bọt,the face shop,,
130,12,Sữa rửa mặt gạo Civic rice milk Thái Lan chính hãng,chiết xuất hoàn toàn từ gạo tự nhiên giàu độ ẩm và các thành phần chống oxi hóa,"làm sạch bụi bẩn và các tạp chất trên da, hút nhờn và ngăn ngừa nám mụn, giúp dưỡng trắng da hồng tự nhiên",dành cho mọi loại da,180 ml,,,,
131,105,Sữa Rửa Mặt Nhau Thai Cừu Tế Bào Gốc Cuống Rốn Nhật Bản 130ml,chiết xuất từ nhau thai cừu,"dưỡng trắng, làm sáng da, giảm thâm nám, cân bằng ph cho da, giúp trẻ hóa và tăng độ đàn hồi cho da, se khít lỗ chân lông, giúp da mịn màng và căng bóng, hỗ trợ điều trị mụn, mờ vết đồi mồi đốm sâu tàn nhang nám, làm dịu da sau khi lăn kim pel da đi laser bắn co2 giúp khôi phục và tái tạo da bị tổn thương nhanh chóng",,,,chantele sydney careline,,
132,106,Sữa rửa mặt 3W Clinic 100ml Collagen/Trà xanh/Hoa hồng/Gạo/Than,"5 loại than hoạt tính, trà xanh, hoa hồng, colgen và lúa mạch","cung cấp nước cho làn da tràn đầy năng lượng, cung cấp độ ẩm cho làn da, tẩy sạch các lớp trang điểm bám lên da cho làn da quyến rũ mượt mà, làm sạch bụi bẩn chất nhờn mỹ phẩm sâu bên trong lỗ chân lông, giúp thu nhỏ lỗ chân lông và ngăn ngừa mụn","thích hợp với mọi loại da, đặc biệt rất phù hợp cho da nhờn mụn và bị lão hóa",,,3 w clinic,,
133,94,Sữa Rửa Mặt 3W Clinic Mẫu Mới,chủ yếu từ trà xanh,"làm sạch da và diệt khuẩn, giảm vùng da bị mụn, cung cấp độ ẩm",,10 ml,,3 w clinic,,
134,107,"Sữa rửa mặt tro núi lửa Jeju volcanic pore cleasing foam 150ml sạch da, giảm mụn hiệu quả",lấy từ một loại đá núi lửa tự nhiên chiết xuất trà xanh và nước khoáng,"giúp hút bã nhờn sâu bên trong lỗ chân lông và các tạp chất khác có trên da, ngăn ngừa sự hình thành mụn, ngăn ngừa sự tiết dầu nhờn và làm sạch sâu",thích hợp cho mọi loại da đặc biệt là làn da hỗn hợp dầu da nhạy cảm,150 m,dạng kem sữa màu trắng rất mịn có những hạt mát xa rất nhỏ màu đỏ,inisfre,,hàn quốc
135,108,(FullTem)Sữa Rửa Mặt La Roche-Posay Effaclar Gel Moussant Purifiant (400ml),các hoạt chất làm sạch được chọn lọc cho làn da nhạy cảm,"nhẹ nhàng loại bỏ độc tố cho da, loại bỏ bã nhờn dư thừa, làm dịu và chống kích ứng",dành cho da dầu da mụn nhạy cảm,,,efaclar foaming gel,,
136,109,Sữa Rửa Mặt Tạo Bọt Rau Má an Toàn Cho Da,amino acid,"tăng cường độ ẩm và độ đàn hồi của da, thúc đẩy quá trình thay mới tế bào da, ngăn ngừa sự hình thành các đốm nâu tàn nhang",thích hợp mọi loại da,,,ginbi,,
137,110,Sữa rửa mặt tạo bọt Senka Perfect whip MẪU MỚI,phức hợp 2 thành phần dưỡng ẩm 2 loại acid,"giữ độ ẩm, làm sạch sâu sét, giúp làm sáng da, tái tạo da, làm sạch bụi bẩn và bã nhờn sâu trong lỗ chân lông",thích hợp cho da dầu và da thường,,,senka,,"thương hiệu nhật bản, nơi sản xuất nhật bản"
138,111,Sữa Rửa Mặt Hatomugi,,cải thiện vấn đề mụn giúp se khít lỗ chân lông và hạn chế bã nhờn giúp da trắng sáng và mờ thâm khoáng chất trong sữa giúp thấm sâu dưới các tầng lớp hạ bì dưỡng ẩm cho da hiệu quả sản phẩm này giúp cho độ tuổi ten chống lại các loại mụn dậy thì làm cho làn da khỏi bị khô sạm ngăn ngừa lão hóa và làm cho làn da săn chắc hơn rất nhiều,,,,hatogumi,,nhật bản
139,112,Sữa rửa mặt gạo Civic Rice milk Thái Lan 180ml,"sữa gạo, tinh chất colagen, nước mùi, các chất làm mềm da, lanolin, glyceryl, vitamin e, sodium, glycerin","làm sạch sâu các lỗ chân lông, lấy đi các bụi bẩn khó sạch khi rửa bằng nước, giữ ẩm, làm mềm da, chống nám sạm và tàn nhang, kiểm soát chất nhờn, cân bằng độ ẩm cho da","da dầu, da nhạy cảm, da bị mụn",180 ml,,civic,,thái lan
140,113,Sữa Rửa Mặt Innisfree Trà Xanh Mẫu Mới 150ml,8 chiết xuất lá trà xanh tự nhiên nguyên chất và các thành phần chống oxy hóa,"giúp làm sạch loại bỏ cặn bẩn và vi khuẩn hiệu quả, làm da mềm mại và căng mịn",dành cho hầu hết các loại da kể cả da nhạy cảm,150 ml,"kết cấu dạng kem mềm mịn, rất dễ dàng tạo bọt",inisfre,,hàn quốc
141,114,"Sữa rửa mặt Ý Dĩ Hatomugi dưỡng ẩm, trắng da Moisturizing & Facial Washing 170g",water myristic acid peg 8 stearic acid k lauric acid glycol honeybe sed extract bg sodium shea buter palmitic acid cocamide dea coca betaine cetanol glyceryl glyceryl stearate se,"giúp làm sáng và mềm da, làm sạch da, lấy đi bụi bẩn bã nhờn trên da mà không khiến da bị khô căng bong tróc, hỗ trợ giảm và ngăn ngừa nguy cơ xuất hiện mụn, làm mờ vết thâm, giúp da rạng rỡ, làm dịu da giảm viêm sưng, phòng ngừa mụn trứng cá, ngăn thô ráp",,170 g,,hatomugi,3 năm kể từ ngày sản xuất,nhật bản
142,115,Sữa rửa mặt Laroche Posay 50ml,"zinc pca, nước khoáng la","hỗ trợ giảm mụn, làm sạch da",phù hợp cho da dầu và da mụn nhạy cảm,,,khoáng la,,
143,116,Gel rửa mặt cho da dầu nhạy cảm La roche Posay Effaclar Purifying Foaming Gel 50ml,"zinc pca, nước khoáng thermal spring water","làm sạch, giảm nhờn, kiểm soát dầu, hỗ trợ điều trị mụn",dành cho da dầu và da mụn nhạy cảm,50 ml,"dạng gel, dễ dàng tạo bọt",la roche-posay,3 năm kể từ ngày sản xuất,pháp
144,117,Sữa rửa mặt nhau thai cừu,"sữa dê, dầu cọ, tinh chất khoáng thiên nhiên, các thành phần khác","dưỡng ẩm, chống lão hóa, tái tạo da",da khô,50ml,chai nhựa màu trắng có nắp đậy kín,,24 tháng,việt nam
145,118,Sữa rửa mặt ý dĩ Reihaku Hatomugi Cleansing Foam,các thành phần thiên nhiên với thành phần chính là hạt coix còn gọi là hạt ý dĩ giúp da bạn mềm mại mịn màng đồng thời dưỡng cho da trắng sáng và chống lão hóa tốt,"làm trắng sáng, chống lão hóa, thải độc tố da, làm săn chắc, dưỡng ẩm cho da",,"{cỡ nhỏ: 130g, cỡ lớn: 170g, chai trắng tạo bọt: 160ml}",chai màu trắng hoặc màu xanh ngăn ngừa mụn,reihaku,,
146,119,Sữa rửa mặt Avene các size,nước khoáng avène,"rửa sạch mặt êm dịu, điều hòa bài tiết bã nhờn, không làm khô da và không kích ứng, giúp da điều tiết dầu và ngăn ngừa nổi mụn, làm sạch da","thích hợp cho làn da nhạy cảm, da nhờn mụn",,chất gel mịn màng,avène,,hinphap
147,120,Sữa rửa mặt trà xanh 150ml mẫu truyền thống,,mẫu truyền thống,,150 ml,,,,
148,50,SỮA RỬA MẶT CERAVE 236ml,,"bảo vệ sự tự nhiên của da, phục hồi và duy trì độ ẩm, hạn chế được tình trạng vi khuẩn xâm nhập vào da, làm sạch nhưng vẫn mềm mịn",da dầu hoặc da khô,236 ml,,cerave,,
149,121,[ xả hàng cũ] SỮA RỬA MẶT GẠO CIVIC RICE MILK THÁI LAN 180ML,"sữa gạo, tinh chất colagen, nước, mùi, lanolin, glyceryl, vitamine e, sodium, glycerin","làm sạch sâu các lỗ chân lông, lấy đi bụi bẩn, giữ ẩm và làm mềm da, chống nám sạm và tàn nhang, kiểm soát chất nhờn, cân bằng độ ẩm cho da, phù hợp cho da dầu, da nhạy cảm và da bị mụn","da dầu, da nhạy cảm, da bị mụn",,,rice milk civic,,
150,34,Sữa rửa mặt colagen,dưỡng chất colagen,"giúp da tái tạo liên tục lớp da non khỏe mạnh, loại bỏ lớp da chết khó chăm sóc, đồng thời làm chậm quá trình lão hóa da nhờ tăng quá tình tổng hợp colagen và dưỡng chất",,,,,,
151,122,Sữa rửa mặt Simple,2 vitamin b5 vitamin e 0 không màu nhân tạo hóa chất độc hại,"nhẹ nhàng làm sạch da mà không làm mất đi độ ẩm tự nhiên của da, trả lại làn da mềm mại tươi mát, không gây kích ứng mụn, tạo ra lớp bọt mỏng giúp bạn loại bỏ thật dễ dàng dầu bụi bẩn và cặn trang điểm","phù hợp với mọi loại da, kể cả da nhạy cảm",150 ml,"có thiết kế đặc trưng của hãng simple, màu xanh lá rất tươi mát",simple,,
152,123,Sữa Rửa Mặt Senka Perfect Whip 100G & 120G,"1': 'chiết xuất tơ tằm trắng, acid 2, phức hợp 2 thành phần dưỡng ẩm, 2': 'đất sét trắng, chiết xuất từ phức hợp tinh chất tơ tằm, 3': 'hoa cúc, nhóm bha, acid, tơ tằm trắng, 4': 'colagen, chiết xuất tơ tằm trắng, acid dưỡng ẩm, 5': 'tổ hợp quả mọng, chiết xuất từ anh đào yoshino, tơ tằm trắng, acid dưỡng ẩm","1': 'làm sạch sâu, làm sáng da, dưỡng ẩm, mềm mượt, 2': 'loại bỏ tế bào chết, làm sáng da, dưỡng ẩm, 3': 'loại bỏ tế bào chết, ngăn chặn mụn, loại bỏ dầu thừa, tắc nghẽn lỗ chân lông, 4': 'làm sạch da, bổ sung colagen, căng mịn da, dưỡng ẩm, 5': 'làm sạch sâu, làm sáng và hồng da, cung cấp độ ẩm, chống oxy hóa, làm mờ nếp nhăn","1': 'phù hợp cho da dầu và da thường, 2': 'phù hợp cho mọi loại da, 3': 'phù hợp cho mọi loại da, đặc biệt là da có dấu hiệu mụn, 4': 'phù hợp cho mọi loại da, đặc biệt là da có dấu hiệu lão hóa thiếu săn chắc chảy xệ, 5': 'phù hợp cho mọi loại da","1': '120 g, 2': 'không có thông tin, 3': '10 g, 4': '120 g, 5': 'không có thông tin","1': 'sản phẩm có bao bì trắng, thiết kế đơn giản, 2': 'sản phẩm có bao bì trắng, thiết kế đơn giản, 3': 'sản phẩm có bao bì trắng, thiết kế đơn giản, 4': 'sản phẩm có bao bì trắng, thiết kế đơn giản, 5': 'không có thông tin","1': 'senka, 2': 'senka, 3': 'senka, 4': 'senka, 5': 'senka","1': 'không có thông tin, 2': 'không có thông tin, 3': 'không có thông tin, 4': 'không có thông tin, 5': 'không có thông tin","1': 'không có thông tin, 2': 'không có thông tin, 3': 'không có thông tin, 4': 'không có thông tin, 5': 'không có thông tin"
153,94,Sữa rửa mặt colagen,chiết xuất từ colagen và các thành phần tự nhiên,"giúp da chống lão hóa và đánh bay các chất cặn bã bám trên da của bạn; giúp da sáng và mịn màng se khít lỗ chân lông và tăng cường độ ẩm; loại bỏ hoàn toàn mụn đầu đen, mụn trứng cá, làm sạch bã nhờn; se khít lỗ chân lông, giảm vết nhăn trên da, kích hoạt sự hoạt động của da để dễ dàng hấp thu các sản phẩm dưỡng da và giúp khuôn mặt khi trang điểm bắt phấn tốt hơn",phù hợp với mọi loại da kể cả da nhạy cảm,,,,,
154,81,[Mã COSACD6 giảm 10% đơn 400K] Sữa rửa mặt làm sạch sâu dành cho da thường và da khô Cerave Hydrating Cleanser 236ML,,làm sạch và giữ ẩm cho làn da mà không ảnh hưởng đến hàng rào bảo vệ da mặt và cơ thể,,,,cerave,3 năm kể từ ngày sản xuất,"mỹ (thương hiệu), pháp (sản xuất)"
155,124,Sữa rửa mặt cetaphil 473ml dành cho da dầu và da dầu mụn,được các chuyên gia da liễu bào chế với thành phần giúp da mềm mại hoàn toàn không gây kích ứng với cả những làn da nhạy cảm,"loại bỏ chất nhờn trên mặt, tẩy sạch bụi bẩn và trang điểm, không làm da khô ráp, cảm giác sảng khoái tươi mát và sạch sẽ",dành cho da dầu và da khô,473 ml,hàng mới về,cetaphil,,
156,125,"Gel rửa mặt BHA Compliment No Problem làm sạch sâu, giảm viêm & mụn 200ml","bha, tea tre oil, aha lactic acid, glycolic acid, malic acid, zinc, axit amin, chiết xuất thực vật","làm sạch sâu, điều tiết tuyến dầu, giảm ngừa mụn, se nhỏ lỗ chân lông, làm sáng, tái tạo và bảo vệ hệ vi sinh tự nhiên của da","mọi loại da (da hỗn hợp dầu, da mụn, da nhạy cảm, da thâm lỗ chân lông to)",tuýp 20ml,gel sử dụng gốc làm sạch tự nhiên lành tính từ dừa,srm glowing star,3 năm kể từ ngày sản xuất,việt nam
157,81,[Mã COSACD6 giảm 10% đơn 400K] Bộ sữa rửa mặt Cerave làm sạch sâu 236ml và sữa dưỡng ẩm cho da thường và da khô 7ml,xem chi tiết trên bao bì,"làm sạch da đồng thời cấp ẩm và giúp duy trì hàng rào độ ẩm tự nhiên của da. hiệu quả sử dụng loại bỏ bụi bẩn và dầu thừa giúp da sạch sáng khỏe. hạn chế tình trạng da thô ráp, không bít tắc lỗ chân lông.",da thường và da khô,"01 sữa rửa mặt 236ml, 02 sữa rửa mặt 7ml x 2",,cerave,3 năm kể từ ngày sản xuất. ngày sản xuất in trên bao bì.,"thương hiệu mỹ, sản xuất ở pháp"
158,126,Sữa rửa mặt cerave foaming facial cleanser dành cho da dầu da khô 236ml mẫu mới,sản phẩm có chứa các thành phần giữ ẩm giúp duy trì lớp màng bảo vệ da khỏe mạnh để làn da có thể chống lại những tác hại từ môi trường bên ngoài hạn chế được tình trạng vi khuẩn xâm nhập vào da tránh tình trạng gây mụn và kích ứng da sạch nhưng vẫn mềm mịn acid có tác dụng giữ được độ ẩm tự nhiên tránh các dấu hiệu lão hóa sớm cho da giúp da tự sản sinh thêm và các acid béo cần thiết để tự duy trì và phục hồi màng bảo vệ da,cerave foaming facial cleanser nhẹ nhàng lấy đi bụi bẩn dầu thừa tàn dư của lớp make up mà không làm tổn hại đến lớp màng ẩm của da được rate 4 5 5 trên cerave foaming facial cleanser là sữa rửa mặt lý tưởng dùng hàng ngày cho da thường đến da dầu,da dầu da khô,236 ml,mẫu mới check mark button,cerave,,
159,0,Combo Simple Tẩy trang 200ml + Sữa rửa mặt 150ml + Nước hoa hồng 200ml cho da sạch khỏe đàn hồi [CHÍNH HÃNG ĐỘC QUYỀN],vitamin b3 vitamin c pro amino acid x2 vitamin b5 vitamin e chiết xuất cây hazel,"làm sạch trang điểm hiệu quả, không gây khô rát, cung cấp dưỡng chất cho làn da, giữ ẩm cho da, làm sạch sâu, cân bằng độ ẩm cho da, làm dịu da, thu nhỏ lỗ chân lông","mọi loại da, da dầu, da mụn, da nhạy cảm",,,simple,03 năm kể từ ngày sản xuất,poland
160,127,Sữa Rửa Mặt BIOAQUA Vị Đào 100 gram,,giúp làm sạch da dầu và bụi bẩn,"da dầu, da hỗn hợp, da mụn và da nhạy cảm dễ bị mụn",,,,,
161,3,A1 Sữa Rửa Mặt Tạo Bọt Qise Amino Acid 60gr Chiết Xuất Tự Nhiên Làm Sạch Da Giúp Da Trắng Sáng,,mềm mướt giúp da sạch bong mà ko bị khô da,,60 gr,,,3 năm,
162,128,[CHÍNH HÃNG] Sữa Rửa Mặt ACERIN Dịu Nhẹ,,"vệ sinh da, giữ ẩm da, hạn chế khô nứt da, giảm nhăn da, sạch nhờn, ngừa mụn, hỗ trợ ngừa rôm sẩy ngứa da khô da, giữ ẩm da hiệu quả",thích hợp cho cả da nhờn và da khô đặc biệt thích hợp cho làn da mỏng manh nhạy cảm của trẻ sơ sinh và trẻ em,,,acerin,,công ty gama pte việt nam
163,129,[Tặng Quà] Sữa Rửa Mặt Thảo Mộc 37 Gold Plus - Sữa Rửa Mặt Gold Plus Thảo Mộc 37,"tinh chất nghệ, tinh chất bạc hà, collagen, vitamin e và nhiều dưỡng chất khác","lấy đi các tế bào chết, bụi bẩn trong lỗ chân lông và các vết thâm, làm da sáng hơn, mềm mại hơn",thích hợp với mọi loại da,,,,,
164,130,Sữa rửa mặt Heyxi Sữa rửa mặt nha đam sạch sâu kiềm dầu dưỡng ẩm HSRM2,lô hội,"làm sạch sâu, kiểm soát dầu, dưỡng ẩm","mọi loại da: nhờn, khô, nhạy cảm, hỗn hợp",10 g/ml,sữa rửa mặt gel,nội địa chất lượng cao,3 năm,
165,131,"Sữa rửa mặt dịu nhẹ cho da dầu mụn, da nhạy cảm Grace Face dạng gel pH 5.56 200ml","water, sodium methyl cocoyl taurate, aloe leaf extract, sodium laureth sulfate, betaine, peg-120 methyl glucose, peg-40 castor oil, glycol, disodium edta, palm dea","làm sạch, ngừa mụn, dưỡng ẩm, giảm bít tắc, sáng da, mềm mịn, căng mướt, thông thoáng lỗ chân lông, giảm tiết bã nhờn",,,"độ ph đạt chuẩn 5.5-6, không gây khô căng kích ứng khó chịu, bảo vệ độ ẩm tự nhiên của da",grace face,3 năm kể từ ngày sản xuất,việt nam
166,57,( Chính Hãng ) Sữa rửa mặt gạo Civic Rice Milk Thái Lan 180ml,được làm từ sửa gạo và tinh chất colagen,"làm mềm da, giữ ẩm, làm sạch sâu các lỗ chân lông, chống nám sạm và tàn nhang, kiểm soát chất nhờn và cân bằng độ ẩm cho da","da dầu, da nhạy cảm, da bị mụn",180 ml,,civic,,xứ thái lan
167,132,Sữa rửa mặt Hazeline Matcha tràm trà tuýp 15g,,giúp bạn có làn da rạng ngời thuần khiết,,khối lượng 15 g,,hazeline,từ tháng 3 2024 trở đi,
168,133,"Sữa rửa mặt dịu Cetaphil Gentle Cleanser 1000ml, 500ml.125ml","water, sodium","cung cấp độ ẩm, không làm khô da, giúp da đầu khỏe và tóc mềm mượt, có tính kháng khuẩn chống lại vi khuẩn tấn công da bé",vốn nhạy cảm và dễ bị tổn thương ở giai đoạn đầu đời,,,cetaphil baby,,được sản xuất tại đức
169,134,Sữa rửa mặt Garnier 3 in 1 chính hãng Nga,"kẽm, chiết xuất đất sét trắng và các vi hạt đá bọt tự nhiên","tác dụng làm sạch da, tẩy tế bào chết và kết hợp mặt nạ dưỡng da",,150 ml,gel chứa 3 tác động: gel scrub mask,garnier,,nga
170,135,"Sữa rửa mặt ngừa mụn nám, dịu nhẹ, bột rửa mặt Mh spa",với thành phần và chiết xuất phù hợp mọi loại da,bột rửa mặt kết hợp trong ngừa mụn,"trắng cho da mụn nám, xanh cho da hỗn hợp",,,mh beauty,,
171,136,(100g) Sữa Rửa Mặt HAZELINE Chính Hãng Công Ty Mẫu Mới 2022,"matcha, lựu đỏ","dưỡng trắng da, giảm dầu và ngăn ngừa mụn, ngăn ngừa tác hại của ánh nắng",,,,hazeline,,
172,137,SỮA RỬA MẶT BỌT BIỂN MAGIC SKIN,,"làm sạch và căng bóng da, làm mụn bong ra",,,,,,
173,138,Sữa Rửa Mặt Gạo Civic Rice Milk Thái Lan 180ml,"sửa gạo, tinh chất colagen, vitamin e, glycerin, lanolin, sodium, nước mùi","làm sạch sâu các lỗ chân lông, chống nám sạm và tàn nhang, giữ ẩm, làm mềm da","dầu da, nhạy cảm da bị mụn",180 ml,,,,thái lan
174,139,[Hàng chính hãng] Sữa rửa mặt Physiogel 150ml,,"làm sạch và làm mềm da, không gây khô da, không làm thay đổi độ ph tự nhiên của da",da khô và nhạy cảm,,,lg vina,3 năm,việt nam
175,140,[Freeship88] [ Mới Về] Sữa Rửa Mặt Simple Kind To Skin 150ml,kết cấu gel trong cùng công thức không chứa dầu,nhẹ nhàng làm sạch da lấy đi bụi bẩn cùng bã nhờn dư thừa mang lại làn da với lỗ chân lông thông thoáng giảm nguy cơ hình thành mụn trứng cá và mụn đầu đen công thức của simple với độ ph cân bằng sẽ giúp làn da không bị khô căng rát sau khi rửa mặt mà ngược lại cảm giác tươi mát cùng làn da mướt mịn,da thường da hỗn hợp da dầu mụn và da nhạy cảm,150 ml,trọng lượng 150 ml,simple kind to skin,,
